,state_us,population,area_sqkm,pop_density,ms_rate,no_ms_inc,total_inj,total_kld,total_inj_kill,wpi,kpi,kld_to_wd,Suicide rate,Gun suicide rate,Suicide,prop_suic_w_gun,Homicide rate,Gun homicide rate,Homicide,prop_hom_w_gun,Gun deaths,gun_death_rate,gun_at_home
16,Kansas,2937880,213100,13.786391365556076,1.3615259983389383,40,146,61,207,3.65,1.525,0.2946859903381642,19.1,11.8,345,0.6178010471204188,6.1,4.9,145,0.8032786885245903,503,17.12118942911215,0.42
17,Kentucky,4505836,104656,43.053776181012076,1.7754751837394882,80,311,101,412,3.8875,1.2625,0.24514563106796117,18.1,11.8,534,0.6519337016574586,9.0,8.1,364,0.8999999999999999,947,21.01718748751619,0.53
18,Louisiana,4657757,135659,34.33430144701052,5.667964215393805,264,1097,239,1336,4.15530303030303,0.9053030303030303,0.17889221556886228,14.9,10.0,463,0.6711409395973155,20.4,17.4,804,0.8529411764705882,1314,28.211003708437346,0.52
19,Massachusetts,7029917,27336,257.1669959028387,0.7539207077409307,53,219,36,255,4.132075471698113,0.6792452830188679,0.1411764705882353,8.6,1.9,136,0.22093023255813954,2.3,1.4,99,0.6086956521739131,247,3.513554996453016,0.09
20,Maryland,6177224,32131,192.25122156173165,2.719668252276427,168,627,186,813,3.732142857142857,1.1071428571428572,0.22878228782287824,10.1,5.0,310,0.49504950495049505,11.5,9.6,592,0.8347826086956521,915,14.81247887400554,0.17
21,Maine,1362359,91633,14.86755863062434,0.587216732153566,8,25,42,67,3.125,5.25,0.6268656716417911,20.2,11.5,158,0.5693069306930694,1.5,0.9,12,0.6,178,13.065572290416844,0.48
22,Michigan,10077331,250487,40.230954101410454,1.8854198596830847,190,732,192,924,3.8526315789473684,1.0105263157894737,0.2077922077922078,14.8,8.1,810,0.5472972972972973,8.2,7.0,701,0.853658536585366,1544,15.321517175529909,0.39
23,Minnesota,5706494,225163,25.343835354831832,1.4720071553566865,84,341,81,422,4.059523809523809,0.9642857142857143,0.19194312796208532,14.2,6.9,393,0.48591549295774655,4.1,2.9,164,0.7073170731707318,573,10.041191666897397,0.39
24,Missouri,6154913,180540,34.091686052952255,2.9407401859295166,181,684,209,893,3.7790055248618786,1.1546961325966851,0.23404255319148937,19.1,12.1,747,0.6335078534031413,11.6,9.9,609,0.8534482758620691,1414,22.97351725361512,0.53
25,Mississippi,2961279,125438,23.607511280473222,4.693917729467572,139,563,168,731,4.0503597122302155,1.20863309352518,0.22982216142270862,16.3,11.3,333,0.6932515337423313,22.2,19.8,583,0.891891891891892,962,32.485962990991396,0.54
26,Montana,1084225,380831,2.8469977496579846,0.4611588922963407,5,9,14,23,1.8,2.8,0.6086956521739131,31.7,21.6,239,0.6813880126182966,4.2,2.7,30,0.6428571428571429,280,25.824897968595078,0.65
27,North Carolina,10439388,139391,74.89284100121242,2.0211912805616574,211,716,269,985,3.3933649289099526,1.2748815165876777,0.2730964467005076,13.7,8.7,916,0.635036496350365,9.4,8.1,850,0.8617021276595744,1839,17.61597518935018,0.37
28,North Dakota,779094,183108,4.254833213185661,0.6417710828218418,5,7,14,21,1.4,2.8,0.6666666666666666,20.1,13.2,102,0.6567164179104477,3.1,2.6,20,0.8387096774193549,128,16.429339720239152,0.53
29,Nebraska,1961504,200330,9.791364248989169,1.0196257565623112,20,86,21,107,4.3,1.05,0.19626168224299065,14.7,7.4,145,0.5034013605442177,3.6,2.3,46,0.6388888888888888,200,10.196257565623114,0.39
30,New Hampshire,1377529,24214,56.8897745106137,0.2177812590515336,3,9,3,12,3.0,1.0,0.25,16.1,8.0,111,0.49689440993788814,1.1,,0,,123,8.929031621112877,0.46
31,New Jersey,9288994,22591,411.1811783453588,1.3026168388094554,121,479,97,576,3.958677685950413,0.8016528925619835,0.1684027777777778,7.4,2.1,195,0.28378378378378377,4.4,3.0,276,0.6818181818181818,475,5.113578499458606,0.09
32,New Mexico,2117522,314917,6.724063800938025,2.077900489345565,44,129,82,211,2.9318181818181817,1.8636363636363635,0.3886255924170616,25.2,14.4,305,0.5714285714285715,14.5,10.9,230,0.7517241379310345,578,27.29605642822129,0.36
33,Nevada,3104614,286380,10.840889726936238,1.5782960458208333,49,169,71,240,3.4489795918367347,1.4489795918367347,0.29583333333333334,22.0,13.1,413,0.5954545454545455,8.4,6.3,199,0.75,633,20.389008102134436,0.33
34,New York,20201249,141297,142.97011967699243,1.2276468648052405,248,1018,167,1185,4.104838709677419,0.6733870967741935,0.1409282700421941,8.4,2.2,439,0.2619047619047619,4.6,3.1,613,0.673913043478261,1078,5.336303710726005,0.14
35,Ohio,11799448,116098,101.63351651191235,2.101793236429365,248,976,296,1272,3.935483870967742,1.1935483870967742,0.23270440251572327,15.0,8.4,991,0.56,8.7,7.4,872,0.8505747126436782,1911,16.195672882324665,0.42
36,Oklahoma,3959353,181037,21.870407706711887,1.7427089729054215,69,210,121,331,3.0434782608695654,1.7536231884057971,0.36555891238670696,22.0,13.8,551,0.6272727272727273,8.6,6.4,257,0.744186046511628,836,21.114560889114966,0.55
37,Oregon,4237256,254799,16.629798390103574,0.802406085447752,34,116,52,168,3.411764705882353,1.5294117647058822,0.30952380952380953,20.9,11.9,505,0.5693779904306221,4.8,3.4,146,0.7083333333333334,670,15.812119919117468,0.41
38,Pennsylvania,13002700,119280,109.00989268947015,2.1918524614118606,285,1115,267,1382,3.912280701754386,0.9368421052631579,0.19319826338639653,14.5,7.7,997,0.5310344827586208,8.5,6.6,861,0.776470588235294,1905,14.650803294700331,0.4
40,Rhode Island,1097379,4001,274.2761809547613,0.6378835388685221,7,29,5,34,4.142857142857143,0.7142857142857143,0.14705882352941177,10.7,3.3,36,0.308411214953271,3.7,2.5,27,0.6756756756756757,64,5.83207806965506,0.14
41,South Carolina,5118425,82933,61.71759130864674,2.8719772195548434,147,562,177,739,3.82312925170068,1.2040816326530612,0.2395128552097429,15.5,10.5,546,0.6774193548387096,12.6,10.7,558,0.8492063492063492,1136,22.19432735655988,0.45
42,South Dakota,886667,199729,4.439350319683171,0.676691474928017,6,11,18,29,1.8333333333333333,3.0,0.6206896551724138,22.7,10.9,98,0.4801762114537445,5.0,2.8,25,0.5599999999999999,128,14.43608479846436,0.55
43,Tennessee,6910840,109153,63.313330829203046,2.8940042020941017,200,784,208,992,3.92,1.04,0.20967741935483872,17.5,11.7,814,0.6685714285714285,11.6,10.2,714,0.8793103448275862,1569,22.703462965428226,0.47
44,Texas,29145505,695662,41.896071655487866,1.6503402497228987,481,1774,780,2554,3.688149688149688,1.6216216216216217,0.3054032889584965,14.2,8.6,2528,0.6056338028169014,8.1,6.6,1942,0.8148148148148148,4613,15.82748351761275,0.36
45,Utah,3271616,219882,14.878962352534542,0.4279230814374303,14,28,41,69,2.0,2.9285714285714284,0.5942028985507246,19.3,10.9,364,0.5647668393782384,2.7,2.1,70,0.7777777777777778,450,13.754670474774546,0.4
46,Virginia,8631393,110787,77.90979988626825,1.5872293151290873,137,503,168,671,3.6715328467153285,1.2262773722627738,0.2503725782414307,13.7,8.2,709,0.5985401459854014,7.0,5.8,505,0.8285714285714285,1248,14.458848067745263,0.35
48,Vermont,643077,24906,25.820163815947964,0.1555023737437352,1,0,4,4,0.0,4.0,1.0,22.0,11.5,74,0.5227272727272727,1.5,,0,,83,12.906697020730022,0.5
49,Washington,7705281,184661,41.72662879546845,1.064205186027609,82,276,112,388,3.3658536585365852,1.3658536585365855,0.28865979381443296,15.9,8.0,617,0.5031446540880503,4.5,3.3,254,0.7333333333333333,896,11.628388374155337,0.32
50,Wisconsin,5893718,169635,34.743525805405724,1.5100824301400237,89,348,97,445,3.9101123595505616,1.0898876404494382,0.21797752808988763,15.3,8.2,484,0.5359477124183006,5.9,4.9,290,0.8305084745762712,793,13.455004124730772,0.47
51,West Virginia,1793716,62756,28.58238256103002,0.8362527847217731,15,33,37,70,2.2,2.466666666666667,0.5285714285714286,21.0,12.7,227,0.6047619047619047,6.4,4.8,86,0.7499999999999999,319,17.78430922174971,0.6
52,Wyoming,576851,253335,2.2770284406023644,0.520064973450683,3,5,7,12,1.6666666666666667,2.3333333333333335,0.5833333333333334,32.8,23.7,137,0.7225609756097562,2.8,1.7,10,0.6071428571428572,155,26.870023628285296,0.61
